BikeRackID,Name,RackType,Capacity,Individual,Secure,BikeAreaUse,Position,LastDate,Maintains,Notes,Max_PDOP,Rcvr_Type,GPS_Date,GPS_Time,Unfilt_Pos,Vert_Prec,Horz_Prec,Lat,Lng,Active
BR_11,Korean War Memorial North,U-Rack,6,3,No,No,Bolted to Ground,10/4/2016 0:00,NPS,off season. all three are loose.,4.9000001,Geo 7X (H-Star),10/4/2016 0:00,11:53:14am,46,0.8,0.3,38.88833424,-77.04845586,Active
BR_12,Korean War Memorial South,U-Rack,2,1,Fully,No,Bolted to Ground,10/4/2016 0:00,NPS,off season. room for more racks on pad if needed.,3.2,Geo 7X (H-Star),10/4/2016 0:00,11:55:51am,47,0.2,0.1,38.8876742,-77.0483145,Active
BR_13,Vietnam War Memorial South,U-Rack,10,5,Fully,Yes,Bolted to Ground,10/4/2016 0:00,NPS,off season. using post chain fence.,5.1999998,Geo 7X (H-Star),10/4/2016 0:00,12:00:46pm,37,0.1,0.1,38.89001822,-77.04897761,Active
BR_14,Constitution Gardens West,U-Rack,10,5,Fully,No,Bolted to Ground,10/4/2016 0:00,NPS,off season.,3.7,Geo 7X (H-Star),10/4/2016 0:00,12:10:35pm,38,0.1,0.1,38.89051195,-77.04496675,Active
BR_15,Constitution Gardens East,U-Rack,10,5,Fully,No,Bolted to Ground,10/4/2016 0:00,NPS,off season,3.2,Geo 7X (H-Star),10/4/2016 0:00,12:15:28pm,40,0.1,0.1,38.89081222,-77.04042267,Active
BR_16,World War II Memorial East,Bollard,10,5,Fully,No,Bolted to Ground,10/4/2016 0:00,NPS,off season. t-bollard style,6,Geo 7X (H-Star),10/4/2016 0:00,12:20:04pm,36,0.1,0.1,38.88869854,-77.03998624,Active
BR_17,World War II Memorial West,Bollard,10,5,No,No,Bolted to Ground,10/4/2016 0:00, ,offseason. one is very loose. t-bollarrd.,5.1999998,Geo 7X (H-Star),10/4/2016 0:00,12:21:37pm,35,0.1,0.1,38.88864813,-77.04007411,Active
BR_18,Behind World War II Memorial,Bollard,8,4,Fully,No,Bolted to Ground,10/4/2016 0:00,NPS,off season. t-bollards.,3.5999999,Geo 7X (H-Star),10/4/2016 0:00,12:25:13pm,62,0.1,0.1,38.88810399,-77.04180143,Active
BR_19,Survey Lodge,Grid,6,1,No,No,Free Standing,10/4/2016 0:00,NPS,unsure if this is a holding place for racks or a real location,2.8,Geo 7X (H-Star),10/4/2016 0:00,12:30:50pm,40,0.2,0.1,38.88829342,-77.03751168,Active
BR_20,Survey Lodge/Independence,U-Rack,8,4,No,No,Bolted to Ground,10/4/2016 0:00, ,off season. one hit by vehicle andvloose\bent.,2.8,Geo 7X (H-Star),10/4/2016 0:00,12:32:54pm,41,0.1,0.1,38.88797037,-77.03738929,Active
BR_21,Friendship Gardens East,U-Rack,6,3,Fully,Yes,Bolted to Ground,10/4/2016 0:00,NPS,off season,3,Geo 7X (H-Star),10/4/2016 0:00,12:45:36pm,60,0.1,0.1,38.89188082,-77.03636534,Active
BR_22,Friendship Gardens West,U-Rack,6,3,Fully,No,Bolted to Ground,10/4/2016 0:00,NPS,off season. one bent but secure,4.1999998,Geo 7X (H-Star),10/4/2016 0:00,12:47:39pm,61,0.1,0.1,38.89188068,-77.03673671,Active
BR_23,WAMO North,U-Rack,6,3,No,No,Bolted to Ground,10/4/2016 0:00,NPS,off season. one is not secure.,1.7,Geo 7X (H-Star),10/4/2016 0:00,12:52:28pm,61,0.1,0.1,38.8900889,-77.0332177,Active
BR_24,WAMO South,U-Rack,4,2,Fully,No,Bolted to Ground,10/4/2016 0:00,NPS,off season.,2.3,Geo 7X (H-Star),10/4/2016 0:00,12:55:35pm,60,0.1,0.1,38.88890932,-77.03322099,Active
BR_25,Jefferson/USDA,U-Rack,10,5,Fully,No,Bolted to Ground,10/4/2016 0:00,Unknown,off season.nps maintain?,5.5,Geo 7X (H-Star),10/4/2016 0:00,01:00:33pm,62,0.1,0.1,38.88871373,-77.03012568,Active
BR_26,Jefferson/Mall Carousel,U-Rack,10,5,No,No,Bolted to Ground,10/4/2016 0:00,NPS,off season. one loose.,4.6999998,Geo 7X (H-Star),10/4/2016 0:00,01:04:41pm,60,0.1,0.1,38.88891202,-77.02426147,Active
BR_27,Jefferson/National Air and Space Museum,U-Rack,10,5,Fully,No,Bolted to Ground,10/4/2016 0:00,NPS,off season. abandoned bike attached,5.1999998,Geo 7X (H-Star),10/4/2016 0:00,01:08:59pm,64,0.1,0.2,38.88885212,-77.01968266,Active
BR_28,Jefferson/3rd St SW,U-Rack,8,4,Fully,No,Bolted to Ground,10/4/2016 0:00,NPS,off season,5.9000001,Geo 7X (H-Star),10/4/2016 0:00,01:12:46pm,64,0.2,0.1,38.88889961,-77.01553134,Active
BR_29,Madison/National Gallery of Art West Building,U-Rack,10,5,Fully,No,Bolted to Ground,10/4/2016 0:00,NPS,off season,2.9000001,Geo 7X (H-Star),10/4/2016 0:00,01:17:18pm,61,0.2,0.1,38.89050363,-77.0196804,Active
BR_30,Madison/National Museum of Natural History,U-Rack,10,5,Fully,No,Bolted to Ground,10/4/2016 0:00,NPS,off season.,5.1999998,Geo 7X (H-Star),10/4/2016 0:00,01:21:27pm,60,0.2,0.2,38.890428,-77.02571251,Active
BR_31,Madison/National Museum of American History,U-Rack,10,5,Fully,No,Bolted to Ground,10/4/2016 0:00,NPS,off season.,5.8000002,Geo 7X (H-Star),10/4/2016 0:00,01:25:56pm,64,0.1,0.1,38.89036876,-77.02976312,Active
BR_32,Holocaust Memorial Museum/15th St SW,U-Rack,10,5,Fully,No,Bolted to Ground,10/4/2016 0:00,NPS,off season.,4,Geo 7X (H-Star),10/4/2016 0:00,01:32:01pm,63,0.1,0.1,38.886585,-77.03388199,Active
BR_33,Tidal Basin Parking Lot,U-Rack,10,5,Fully,No,Bolted to Ground,10/4/2016 0:00,NPS,off season. one is loose.,3.8,Geo 7X (H-Star),10/4/2016 0:00,01:35:36pm,61,0.1,0.1,38.88487328,-77.03474506,Active
BR_34,Jefferson Memorial East,U-Rack,8,4,No,No,Bolted to Ground,10/4/2016 0:00,NPS,off season. one is loose,3,Geo 7X (H-Star),10/4/2016 0:00,01:45:01pm,60,0.6,0.4,38.88181489,-77.03572707,Active
BR_35,Jefferson Memorial West,U-Rack,8,4,No,No,Bolted to Ground,10/4/2016 0:00,NPS,off season. one is loose,3.0999999,Geo 7X (H-Star),10/4/2016 0:00,01:49:19pm,61,0.1,0.1,38.88179668,-77.03738843,Active
BR_36,National Capital Region HQ,Grid,11,1,Fully,No,Free Standing,10/4/2016 0:00, ,off season,3.0999999,Geo 7X (H-Star),10/4/2016 0:00,01:56:25pm,41,0.1,0.1,38.87680242,-77.03339095,Active
